x [px], y [px], t [s], nPhotons [1], PSD value, t_relToExtTrigger [s]
 145.78,  152.68, 1.473650218750e-01,   9.0, 9.687121180556e-03, nan
 144.09,  153.19, 1.474496953125e-01,   2.0, 2.588546875000e-04, nan
 179.17,  250.11, 1.548433890625e-01,   2.0, 7.145312499998e-06, nan
 205.27,  166.44, 1.582699312500e-01,   8.0, 1.761494140625e-04, nan
 198.77,  167.29, 1.583235046875e-01,   2.0, 1.823125000000e-05, nan
 206.67,  180.59, 1.583397921875e-01,   2.0, 2.331749218750e-03, nan
  16.66,   18.57, 1.588721640625e-01,   1.0, 0.000000000000e+00, nan
  92.76,   41.31, 1.617066062500e-01,   6.0, 1.583267473958e-02, nan
  89.80,   26.34, 1.617244031250e-01,   2.0, 1.534269453125e-02, nan
  78.76,   44.96, 1.695476750000e-01,   2.0, 2.232440625000e-03, nan
  91.12,   55.82, 1.699531750000e-01,   3.0, 6.948645833334e-05, nan
 138.28,  217.12, 1.735624812500e-01,   1.0, 0.000000000000e+00, nan
  85.51,  219.22, 1.834089640625e-01,   3.0, 2.974865312500e-02, nan
  44.56,  222.01, 1.877059250000e-01,   2.0, 7.351562500008e-07, nan
 170.39,  107.51, 1.911861578125e-01,   7.0, 1.472928794643e-03, nan
 162.56,  107.22, 1.912481015625e-01,   3.0, 5.960710416667e-03, nan
 170.35,  114.15, 1.913694781250e-01,   1.0, 0.000000000000e+00, nan
