x [px], y [px], t [s], nPhotons [1], PSD value, t_relToExtTrigger [s]
 239.29,  232.12, 2.639562500000e-03,   2.0, 2.401022187500e-02, nan
 169.25,  174.25, 2.667814062500e-03,  10.0, 1.393313140625e-01, nan
 254.82,  105.97, 2.670320312500e-03,   5.0, 3.135965156250e-02, nan
  65.80,  105.93, 2.686410937500e-03, 454.0, 5.524178303896e-01, nan
  33.04,   55.79, 2.687743750000e-03, 589.0, 4.330525132879e-01, nan
  42.36,  214.80, 2.702870312500e-03, 463.0, 4.696624210684e-01, nan
  22.51,  195.06, 2.707385937500e-03, 541.0, 3.689780086356e-01, nan
 243.43,  248.37, 2.708881250000e-03,   2.0, 2.459698984375e-02, nan
 250.42,  136.47, 2.727754687500e-03,  24.0, 1.682815356771e-01, nan
 118.71,  194.46, 2.743425000000e-03, 196.0, 5.248475903938e-01, nan
 253.26,  245.84, 2.798123437500e-03,   6.0, 7.048584531250e-02, nan
 235.72,  219.94, 2.844984375000e-03,   5.0, 3.824681906250e-02, nan
 129.01,   52.18, 2.878962500000e-03, 187.0, 6.002350282336e-01, nan
  40.69,  214.40, 2.881540625000e-03, 331.0, 5.165095540691e-01, nan
 218.91,  214.62, 3.011282812500e-03, 175.0, 5.690302296518e-01, nan
 231.92,   54.69, 3.167014062500e-03, 204.0, 5.761807321921e-01, nan
 111.81,   85.68, 3.216004687500e-03, 211.0, 5.018586117447e-01, nan
 230.11,  191.83, 3.219701562500e-03,  16.0, 2.135912744141e-02, nan
  52.76,  224.45, 3.283668750000e-03, 288.0, 5.674904078939e-01, nan
 195.17,  135.94, 3.308989062500e-03,  16.0, 1.108002154297e-01, nan
 119.41,  103.79, 3.364582812500e-03, 270.0, 4.701050967824e-01, nan
 146.37,  189.83, 3.395548437500e-03, 222.0, 4.199850092553e-01, nan
  68.85,   39.32, 3.519101562500e-03, 442.0, 3.680700516792e-01, nan
 240.16,  206.29, 3.544181250000e-03, 224.0, 4.744594438825e-01, nan
  76.19,   24.74, 3.549496875000e-03, 339.0, 4.259236946350e-01, nan
 147.60,    5.70, 3.642456250000e-03,   6.0, 6.523257369792e-02, nan
  39.75,   87.70, 3.746415625000e-03, 284.0, 4.478333414998e-01, nan
 183.89,   82.95, 3.834704687500e-03, 237.0, 6.790794387988e-01, nan
  57.27,  214.79, 3.840832812500e-03, 269.0, 4.544874860246e-01, nan
 236.78,  159.50, 3.843856250000e-03,  12.0, 6.287558854167e-02, nan
 241.56,    9.59, 3.957867187500e-03,   6.0, 1.747151875000e-02, nan
 207.85,   36.05, 3.959334375000e-03,  88.0, 4.601320104403e-01, nan
 202.20,   55.46, 3.959578125000e-03,  95.0, 5.706079932401e-01, nan
 239.73,   18.71, 3.978912500000e-03,   3.0, 3.979519270833e-02, nan
  33.98,   38.82, 4.347598437500e-03, 473.0, 5.191131929539e-01, nan
  24.63,   48.81, 4.380612500000e-03, 213.0, 3.345009928550e-01, nan
  82.12,   42.10, 4.424265625000e-03, 249.0, 6.089147699297e-01, nan
  64.75,   58.78, 4.428343750000e-03, 300.0, 4.773988801615e-01, nan
  51.96,   73.89, 4.428837500000e-03, 216.0, 5.125250809968e-01, nan
  43.52,  132.84, 4.429251562500e-03, 216.0, 4.204766007523e-01, nan
  58.62,  132.03, 4.429954687500e-03, 178.0, 3.512762959357e-01, nan
 136.26,   49.31, 4.435182812500e-03, 200.0, 5.536648838906e-01, nan
 142.54,   37.18, 4.435348437500e-03,  22.0, 2.014203570313e-01, nan
 111.99,   23.72, 4.436462500000e-03,  41.0, 3.028329788110e-01, nan
 130.01,   37.41, 4.447053125000e-03,   3.0, 4.875765260417e-02, nan
  39.80,   18.46, 4.449335937500e-03, 272.0, 4.020805246209e-01, nan
 137.39,   34.90, 4.453357812500e-03,   7.0, 5.930278549107e-02, nan
 106.33,    1.11, 4.468193750000e-03,   2.0, 1.163281250000e-06, nan
  49.00,  140.75, 4.509137500000e-03, 239.0, 6.012096596561e-01, nan
 110.38,   52.41, 4.670179687500e-03,  13.0, 1.267560447115e-01, nan
 137.23,  203.76, 4.760921875000e-03, 200.0, 6.886059908516e-01, nan
  18.29,   68.74, 4.841362500000e-03, 278.0, 5.482890781194e-01, nan
  41.17,  165.40, 4.969506250000e-03,  88.0, 2.020445090554e-01, nan
 159.47,  203.63, 4.983470312500e-03,   2.0, 2.998173984375e-02, nan
 206.57,  254.44, 5.063673437500e-03,  35.0, 2.427928380357e-01, nan
  39.70,  182.15, 5.085929687500e-03, 194.0, 3.722320266753e-01, nan
  62.55,  175.15, 5.093915625000e-03, 182.0, 5.191901629979e-01, nan
  80.30,  114.20, 5.094137500000e-03, 197.0, 4.778487932186e-01, nan
  33.05,  139.74, 5.121557812500e-03, 224.0, 4.028935579241e-01, nan
  27.72,  142.38, 5.141843750000e-03, 186.0, 2.624883156586e-01, nan
  29.15,   45.55, 5.141937500000e-03, 138.0, 4.766128757020e-01, nan
 132.64,  204.22, 5.194112500000e-03, 194.0, 5.521483537532e-01, nan
  34.79,  214.57, 5.208145312500e-03, 146.0, 4.381152031785e-01, nan
  14.03,   53.28, 5.313584375000e-03, 154.0, 1.289801797078e-01, nan
 177.18,    6.97, 5.365107812500e-03,   2.0, 2.678853984375e-02, nan
 130.85,  111.46, 5.437262500000e-03, 145.0, 5.381936720905e-01, nan
  58.02,  131.30, 5.521600000000e-03,   4.0, 7.346097734375e-02, nan
 230.94,  116.72, 5.693431250000e-03,  97.0, 5.261196036405e-01, nan
 243.52,  133.04, 5.717182812500e-03,   4.0, 2.218637382813e-02, nan
  85.05,   96.93, 5.746409375000e-03,  13.0, 5.160363365385e-02, nan
 104.41,  182.12, 5.819465625000e-03, 213.0, 5.829238275455e-01, nan
 123.20,   67.45, 6.230057812500e-03, 146.0, 5.258583586473e-01, nan
 113.05,  126.10, 6.415473437500e-03, 175.0, 3.563885358482e-01, nan
 195.42,  103.86, 6.460332812500e-03, 119.0, 2.000794284664e-01, nan
  51.13,   89.80, 6.663398437500e-03,  69.0, 4.790920751812e-01, nan
 138.10,  148.21, 6.711557812500e-03,  88.0, 6.364412970526e-02, nan
 149.42,   48.89, 6.730825000000e-03, 127.0, 4.760851206939e-01, nan
 197.41,  198.06, 6.744368750000e-03,   5.0, 2.762101375000e-02, nan
 179.16,  102.64, 6.783928125000e-03,  10.0, 2.314980546875e-02, nan
 211.48,   93.40, 6.785873437500e-03,  33.0, 1.241980563447e-01, nan
 212.39,   91.42, 6.791851562500e-03,  16.0, 1.522972275391e-02, nan
 206.32,   62.29, 6.791889062500e-03,   8.0, 2.939788808594e-02, nan
 205.65,   68.12, 6.793928125000e-03,   7.0, 3.398587790179e-02, nan
 158.01,  115.49, 6.795051562500e-03,  17.0, 4.140229430147e-02, nan
  59.15,   30.74, 6.795912500000e-03, 187.0, 2.752705284258e-01, nan
 220.17,   89.12, 6.802831250000e-03,   5.0, 2.674707468750e-02, nan
 156.52,  104.00, 6.825076562500e-03,   6.0, 3.685188177083e-02, nan
 187.50,  122.75, 6.880040625000e-03,   4.0, 6.236936328125e-02, nan
 157.86,  123.87, 6.907307812500e-03,   5.0, 2.257080500000e-02, nan
 118.80,  142.63, 7.073759375000e-03,  37.0, 3.373460147804e-02, nan
  78.33,   59.87, 7.083801562500e-03,  38.0, 4.025136530016e-01, nan
 131.55,  226.06, 7.124462500000e-03, 301.0, 5.683863096138e-01, nan
 104.58,  205.11, 7.137393750000e-03,  58.0, 9.348457785560e-03, nan
 102.06,  174.51, 7.141248437500e-03, 153.0, 5.065453261642e-01, nan
  77.28,  223.88, 7.142096875000e-03,  71.0, 2.080172411092e-01, nan
 117.43,  200.38, 7.142796875000e-03,  13.0, 1.478465560096e-01, nan
 129.49,  219.77, 7.143395312500e-03, 146.0, 5.734973647795e-01, nan
 119.42,  172.03, 7.145578125000e-03,  10.0, 8.011502578125e-02, nan
  93.68,  188.33, 7.145740625000e-03,   6.0, 3.219258750000e-02, nan
  91.75,  197.09, 7.152798437500e-03,   8.0, 5.816093613281e-02, nan
 120.00,  156.73, 7.164185937500e-03,   7.0, 1.875491093750e-02, nan
  37.91,   58.90, 7.343318750000e-03, 192.0, 3.590271612467e-01, nan
 109.78,   75.78, 7.757882812500e-03,  36.0, 2.120678894531e-01, nan
  98.81,  101.27, 7.759367187500e-03,  28.0, 2.125828015625e-01, nan
 126.39,   72.54, 7.780618750000e-03,  34.0, 2.464028056066e-01, nan
  88.41,   74.18, 7.786529687500e-03,   5.0, 4.356102937500e-02, nan
  70.19,   79.78, 7.836109375000e-03,   7.0, 4.542981941964e-02, nan
  68.57,   -0.39, 7.946165625000e-03,  12.0, 1.133412248698e-01, nan
 107.14,   74.88, 7.961215625000e-03,   3.0, 2.854262812500e-02, nan
  13.73,  183.37, 8.094001562500e-03, 130.0, 9.645658258413e-02, nan
  11.58,  172.94, 8.094128125000e-03, 166.0, 3.142650106457e-01, nan
  28.57,  224.30, 8.095104687500e-03, 178.0, 3.974336818996e-01, nan
   9.84,  210.97, 8.097562500000e-03,  47.0, 1.863095087434e-01, nan
  85.18,  177.21, 8.100550000000e-03,  51.0, 2.721937127451e-01, nan
  23.73,  206.03, 8.103287500000e-03,  24.0, 1.940718408203e-01, nan
  38.45,  247.71, 8.111471875000e-03,  76.0, 1.715714467105e-01, nan
  12.54,  172.67, 8.116154687500e-03,  89.0, 4.727320788448e-01, nan
  38.27,  196.15, 8.122075000000e-03, 103.0, 5.349970940534e-01, nan
 122.36,  121.26, 8.142145312500e-03,  11.0, 6.872597031250e-02, nan
 121.43,  152.19, 8.149220312500e-03,   3.0, 8.612154166667e-03, nan
